1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 
1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 
1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 
1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 
1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.3 1521.29 
1521.31 1521.31 1521.31 1521.31 1521.31 1521.31 1521.3 1521.29 1521.27 1521.22 1521.12 1520.93 
1521.31 1521.31 1521.31 1521.3 1521.28 1521.26 1521.17 1521.04 1520.76 1519.93 1518.56 1515.84 
1521.28 1521.25 1521.19 1521.02 1520.72 1520.13 1518.36 1515.44 1509.68 1492.97 1466.81 1419.36 
1521.08 1520.86 1520.4 1519.04 1516.78 1512.31 1499.19 1478.21 1439.07 1337.39 1201.57 1008.85 
1519.87 1518.43 1515.56 1507.07 1493.26 1466.8 1394.77 1292.17 1130.09 833.31 600.357 464.147 
